,StationName,23,24,25,26,27,28,29
59,63 DR-REGO PARK,2972.0,2426.0,6633.0,6758.0,6675.0,6721.0,6448.0
60,90 ST-ELMHURST,2962.0,2249.0,5642.0,5562.0,5837.0,5644.0,5511.0
61,149/GRAND CONC,2929.0,2779.0,5157.0,5118.0,5397.0,5185.0,4541.0
62,HIGH ST,2867.0,2769.0,6265.0,6844.0,6498.0,6816.0,6360.0
63,175 ST,2848.0,2230.0,5537.0,5709.0,5826.0,5744.0,5277.0
64,53 ST,2832.0,2199.0,4255.0,4460.0,4437.0,4420.0,4184.0
65,111 ST,2818.0,2278.0,3904.0,3874.0,3794.0,3952.0,3851.0
66,WALL ST,2789.0,2322.0,16036.0,16688.0,16948.0,16427.0,14624.0
67,110 ST,2774.0,2029.0,5261.0,5344.0,5373.0,5068.0,4765.0
68,BROOKLYN BRIDGE,2772.0,2163.0,10855.0,11419.0,11410.0,11367.0,10429.0
69,8 ST-NYU,2717.0,2288.0,6832.0,7302.0,7211.0,7175.0,6669.0
70,49 ST,2625.0,1981.0,10592.0,11376.0,11785.0,11753.0,11068.0
71,PROSPECT PARK,2598.0,2040.0,4867.0,5022.0,5258.0,5243.0,4964.0
72,135 ST,2596.0,2326.0,5139.0,5262.0,5302.0,5454.0,5131.0
73,BROADWAY JCT,2463.0,2139.0,3488.0,3578.0,3722.0,3716.0,3612.0
74,NEVINS ST,2423.0,1547.0,5521.0,5516.0,5412.0,5668.0,5232.0
75,BRIGHTON BEACH,2421.0,2000.0,5117.0,4964.0,4893.0,5071.0,4319.0
76,46 ST BLISS ST,2383.0,1749.0,5533.0,5815.0,5701.0,5829.0,5460.0
77,BEDFORD-NOSTRAN,2326.0,2029.0,4496.0,4610.0,4632.0,4787.0,4402.0
78,RECTOR ST,2319.0,1839.0,7084.0,7159.0,7204.0,7353.0,6650.0
79,HOYT-SCHER,2289.0,1848.0,5336.0,5268.0,5349.0,5209.0,4930.0
80,CENTRAL PK N110,2272.0,2132.0,4536.0,4593.0,4693.0,4676.0,4577.0
81,191 ST,2210.0,1647.0,3570.0,3674.0,3504.0,3644.0,3470.0
82,BURNSIDE AV,2162.0,1533.0,3827.0,3820.0,3818.0,3664.0,3622.0
